Year,Carrier Type,Carrier,Total Energy Use,Percent,Sequence
2020,Other Heat,Solar Heat,2264.83,0.0009728618402785883,12
2030,Other Heat,Solar Heat,13171.54,0.005657858931444319,12
2015,Other Heat,Solar Heat,1244.92,0.0005347576472404641,12
2045,Other Heat,Biomass,26179.870000000003,0.01124561071093822,13
2040,Other Heat,Biomass,32215.86,0.013838381179054218,13
2035,Other Heat,Biomass,36955.51,0.015874306445531797,13
2050,Other Heat,Biomass,20310.260000000002,0.008724309074030547,13
2025,Other Heat,Biomass,43378.87,0.018633472400756634,13
2020,Other Heat,Biomass,41937.86,0.01801448393784337,13
2015,Other Heat,Biomass,40502.149999999994,0.017397772099556886,13
2030,Other Heat,Biomass,41205.55,0.01769991884719444,13
2015,Other Heat,Geothermal,362.72,0.00015580703483521923,14
2020,Other Heat,Geothermal,792.65,0.0003404842472489428,14
2025,Other Heat,Geothermal,2730.3500000000004,0.0011728268018370669,14
2030,Other Heat,Geothermal,5685.63,0.0024422726937311633,14
2035,Other Heat,Geothermal,8410.380000000001,0.0036126940053965353,14
2040,Other Heat,Geothermal,10587.3,0.004547793945497675,14
2045,Other Heat,Geothermal,13011.62,0.005589165004969771,14
2050,Other Heat,Geothermal,15380.83,0.006606863463841489,14
2040,Other Heat,H Process,8157.5599999999995,0.0035040947151808305,15
2050,Other Heat,H Process,12258.23,0.005265544962031675,15
2045,Other Heat,H Process,12020.0,0.0051632128328168705,15
2035,Other Heat,H Process,3732.0199999999995,0.001603095969744527,15
2015,Other Heat,H Process,0.0,0.0,15
2025,Other Heat,H Process,120.50999999999999,5.1765289391244675e-05,15
2030,Other Heat,H Process,1535.16,0.0006594307664248874,15
2020,Other Heat,H Process,0.0,0.0,15
2015,Other Heat,RE district heat,563.11,0.00024188492331842827,16
2020,Other Heat,RE district heat,1488.3,0.0006393019683095963,16
2025,Other Heat,RE district heat,4139.04,0.0017779321500451196,16
2030,Other Heat,RE district heat,6886.07,0.0029579238761793065,16
2035,Other Heat,RE district heat,9246.73,0.003971949667021026,16
2045,Other Heat,RE district heat,12133.2,0.00521183809843042,16
2050,Other Heat,RE district heat,13092.0,0.005623692379969922,16
2040,Other Heat,RE district heat,10958.970000000001,0.004707445469089443,16
2040,Other Heat,H Fuel,6307.99,0.002709608562169758,17
2015,Other Heat,H Fuel,0.0,0.0,17
2035,Other Heat,H Fuel,5130.19,0.0022036824328443244,17
2030,Other Heat,H Fuel,3029.06,0.0013011382249061788,17
2025,Other Heat,H Fuel,826.87,0.000355183510405265,17
2020,Other Heat,H Fuel,16.27,6.988808052406861e-06,17
2050,Other Heat,H Fuel,6849.08,0.002942034754491628,17
2045,Other Heat,H Fuel,6763.87,0.0029054326442183895,17
2050,Other Heat,Synfuels,6328.48,0.002718410078887263,18
2015,Other Heat,Synfuels,0.0,0.0,18
2020,Other Heat,Synfuels,1.81,7.774887876371494e-07,18
2025,Other Heat,Synfuels,5.0,2.1477590818705785e-06,18
2030,Other Heat,Synfuels,403.94,0.00017351316070616027,18
2035,Other Heat,Synfuels,2115.33,0.000908643843730658,18
2040,Other Heat,Synfuels,4550.84,0.0019548215880279807,18
2045,Other Heat,Synfuels,5628.75,0.0024178397864158033,18
2015,Other Heat,Biofuels ,3163.27,0.0013587883741817488,19
2020,Other Heat,Biofuels ,4123.93,0.001771441622099707,19
2050,Other Heat,Biofuels ,5693.11,0.0024454857413176412,19
2030,Other Heat,Biofuels ,10054.75,0.004319036125687639,19
2035,Other Heat,Biofuels ,9781.53,0.0042016739784179035,19
2040,Other Heat,Biofuels ,9232.15,0.003965686801538292,19
2025,Other Heat,Biofuels ,9329.42,0.004007469306717002,19
2045,Other Heat,Biofuels ,8201.03,0.003522767332638614,19
